CustomerID,CustomerName,NRIC,Month,WaterConsumption(Liters),WaterQualityIndex,TDS(ppm),pHLevel,ChlorineLevel(mg/L),CustomerFeedback,BillingAmount($)
1001,Jane Clark,S6690071Y,2025-01,600,77,183,7,0.47,1,12
1002,Emily Lim,S1933625K,2025-01,2793,82,222,6.5,0.66,1,55.86
1003,John Tan,S5845190Z,2025-01,4374,79,175,7.3,0.28,2,87.48
1004,Lily Lim,T2176066P,2025-01,1443,61,119,7.3,0.69,5,28.86
1005,Jane Lee,S2790385C,2025-01,4733,82,247,8.1,0.27,1,94.66
1006,Chris Smith,T4098128K,2025-01,3106,70,182,6.9,0.28,1,62.12
1007,Greg Ng,S018610334Y,2025-01,2796,88,249,8.4,0.39,5,55.92
1008,Alice Doe,T9844805K,2025-01,3422,58,254,6.7,0.28,3,68.44
1009,Alice Davis,T8882623Z,2025-01,4141,68,141,8,0.49,3,82.82
1010,Chris Lim,S3912801N,2025-01,3564,97,187,6.7,0.21,1,71.28
1011,James White,T1132530U,2025-01,1344,77,234,8.4,0.6,1,26.88
1012,Alice Johnson,S3039652W,2025-01,4745,87,197,6.6,0.71,,94.9057
1013,Eva Clark,S5419734J,2025-01,761,78,124,8.4,0.53,,15.22
1014,Greg Lee,S2545998V,2025-01,1479,75,239,6.3,0.66,,29.58
1015,,S6174726C,2025-01,3262,59,199,7,0.3,1,65.24
1016,James Lim,S9170626T,2025-01,1375,83,128,6.8,0.35,5,27.5
1017,Tom White,S4028987L,2025-01,758,79,290,6.8,0.59,5,15.16
1018,James Davis,S4844720S,2025-01,4228,66,283,6.2,0.76,3,84.56
1019,Alice Lee,S1456163R,2025-01,4287,90,133,6.5,0.28,2,85.74
1020,Greg Davis,T7966755G,2025-01,529,89,211,6.8,0.67,,10.58
1021,Eva Smith,T2633611F,2025-01,3183,54,176,6.7,0.51,,63.66
1022,Tom Clark,S2363670Q,2025-01,1436,92,189,8.1,0.71,,28.72
1023,Lily Brown,T2991524A,2025-01,547,69,237,8.3,0.69,,10.94
